Expert,DDQN_1Mio,DDQN,Agent_16,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
9,1,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0
7,9,0,0,0,0,0,0,0,0,0
13,4,0,0,0,0,0,0,0,0,0
18,0,23,0,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0
19,1,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
12,1,3,0,0,0,0,0,0,1,1
13,5,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0
15,1,0,0,0,0,0,0,1,0,0
10,1,1,0,0,0,0,0,0,1,0
11,5,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,1
10,3,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
11,6,0,0,0,0,0,0,0,0,0
15,6,16,0,0,0,0,0,0,0,0
2,8,2,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0
8,2,0,0,0,0,0,0,0,0,0
9,,,,,,,,,,
16,,,,,,,,,,
13,,,,,,,,,,
17,,,,,,,,,,
8,,,,,,,,,,
10,,,,,,,,,,
7,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
9,,,,,,,,,,
8,,,,,,,,,,
27,,,,,,,,,,
4,,,,,,,,,,
2,,,,,,,,,,
9,,,,,,,,,,
6,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
31,,,,,,,,,,
8,,,,,,,,,,
6,,,,,,,,,,
11,,,,,,,,,,
9,,,,,,,,,,
12,,,,,,,,,,
12,,,,,,,,,,
6,,,,,,,,,,
8,,,,,,,,,,
11,,,,,,,,,,
9,,,,,,,,,,
19,,,,,,,,,,
14,,,,,,,,,,
11,,,,,,,,,,
