Expert,DDQN_1Mio,DDQN,Agent_16,Agent_17,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
165,55,289,358,279,552,263,850,273,361,224,252
50,97,116,404,272,269,292,343,261,288,249,244
131,101,171,462,289,284,389,295,1029,465,360,362
227,83,249,474,447,305,273,278,264,528,346,493
205,42,280,312,277,212,263,582,277,321,224,221
58,64,312,407,276,275,220,302,248,200,384,435
409,38,252,477,662,345,916,594,225,322,262,230
172,115,418,276,222,307,317,895,645,332,228,454
291,102,348,461,281,360,413,302,256,357,293,518
270,115,319,284,275,271,596,199,218,421,487,299
354,53,253,319,276,265,313,287,201,238,395,398
212,41,254,304,276,569,317,362,664,202,348,601
287,127,187,321,282,1020,587,300,335,215,211,305
215,99,294,334,275,275,277,402,544,630,377,236
229,117,221,232,251,291,487,353,274,204,261,613
110,77,211,246,274,361,337,253,379,210,331,300
262,77,190,245,444,265,310,278,253,446,304,290
202,83,228,275,272,467,307,268,229,269,287,253
111,78,215,356,276,290,272,357,448,243,234,303
83,190,263,196,276,242,253,556,306,263,329,313
226,66,268,294,274,271,931,173,683,310,316,456
105,96,360,300,236,346,432,493,462,229,260,150
290,126,282,300,281,604,278,279,270,158,260,334
3,52,226,550,276,566,440,411,315,177,411,199
11,188,478,269,278,621,376,277,322,389,240,301
321,57,231,304,274,243,274,677,178,182,389,230
37,77,159,331,284,534,550,305,575,225,235,210
89,85,181,330,277,274,278,504,400,220,275,230
107,47,267,216,275,335,276,381,440,621,285,324
221,72,313,222,276,433,461,261,389,359,326,336
180,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0
